gap,clip,before,after,cuts
0.2,UoHK74aS9sY.mp4,0.0,0.0,5
0.2,Y76O5wY7EcM.mp4,79.4,27.95,164
0.2,Z0NIxY7svlM.mp4,23.8,0.0,20
0.2,_3-eqclZgQc.mp4,17.87,0.0,23
0.2,ezm9i2nGYwQ.mp4,79.26,5.67,168
0.2,ila-hAUXR5U.mp4,0.0,0.0,0
0.2,kMJVNerOtRI.mp4,0.0,0.0,0
0.2,xDdAHEUQ2zA.mp4,48.43,0.0,103
0.2,xbawhCyMsRI.mp4,74.1,0.0,112
0.2,yqkfZuyQPc4.mp4,0.0,0.0,24
0.2,zlmWXyIFYnM.mp4,79.36,6.15,161
0.3,4UEAYxGC1gE.mp4,0.0,0.0,0
0.3,523LwKMfF2I.mp4,79.48,4.23,116
0.3,6gmCC4OkFx8.mp4,0.0,0.0,8
0.3,9-ochJEQpb0.mp4,0.0,0.0,5
0.3,AjbrmfjJRk0.mp4,79.25,0.0,0
0.3,Ben_8tA6Eyg.mp4,11.5,0.0,12
0.3,CIHun1gx7zU.mp4,58.96,0.0,71
0.3,GSTB2MVHtMk.mp4,0.0,0.0,6
0.3,M5HYGDDf6wU.mp4,1.21,0.0,0
0.3,MFC0eGtaF5M.mp4,21.2,0.0,7
0.3,PFSDW2g3D8o.mp4,78.03,0.0,5
0.3,QtXx3Qubmys.mp4,0.33,0.0,8
0.3,TXeDgXiytM0.mp4,79.3,1.0,119
0.3,UoHK74aS9sY.mp4,0.0,0.0,5
0.3,Y76O5wY7EcM.mp4,79.4,8.72,117
0.3,Z0NIxY7svlM.mp4,23.8,0.0,20
0.3,_3-eqclZgQc.mp4,17.87,0.0,23
0.3,ezm9i2nGYwQ.mp4,79.26,1.2,118
0.3,ila-hAUXR5U.mp4,0.0,0.0,0
0.3,kMJVNerOtRI.mp4,0.0,0.0,0
0.3,xDdAHEUQ2zA.mp4,48.43,0.0,83
0.3,xbawhCyMsRI.mp4,74.1,0.0,79
0.3,yqkfZuyQPc4.mp4,0.0,0.0,20
0.3,zlmWXyIFYnM.mp4,79.36,3.2,115
0.5,4UEAYxGC1gE.mp4,0.0,0.0,0
0.5,523LwKMfF2I.mp4,79.48,0.03,74
0.5,6gmCC4OkFx8.mp4,0.0,0.0,8
0.5,9-ochJEQpb0.mp4,0.0,0.0,5
0.5,AjbrmfjJRk0.mp4,79.25,0.0,0
0.5,Ben_8tA6Eyg.mp4,11.5,0.0,10
0.5,CIHun1gx7zU.mp4,58.96,0.0,47
0.5,GSTB2MVHtMk.mp4,0.0,0.0,4
0.5,M5HYGDDf6wU.mp4,1.21,0.0,0
0.5,MFC0eGtaF5M.mp4,21.2,0.0,7
0.5,PFSDW2g3D8o.mp4,78.03,0.0,4
0.5,QtXx3Qubmys.mp4,0.33,0.0,8
0.5,TXeDgXiytM0.mp4,79.3,0.0,74
0.5,UoHK74aS9sY.mp4,0.0,0.0,5
0.5,Y76O5wY7EcM.mp4,79.4,0.33,74
0.5,Z0NIxY7svlM.mp4,23.8,0.0,19
0.5,_3-eqclZgQc.mp4,17.87,0.0,20
0.5,ezm9i2nGYwQ.mp4,79.26,0.0,75
0.5,ila-hAUXR5U.mp4,0.0,0.0,0
0.5,kMJVNerOtRI.mp4,0.0,0.0,0
0.5,xDdAHEUQ2zA.mp4,48.43,0.0,56
0.5,xbawhCyMsRI.mp4,74.1,0.0,57
0.5,yqkfZuyQPc4.mp4,0.0,0.0,17
0.5,zlmWXyIFYnM.mp4,79.36,0.0,71
